1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
2:12	أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَـٰكِن لَّا يَشۡعُرُونَ	ʔalaːː ʔinː̃ahum humu lmufsiduːna walaːki lːaː jaʃʕuruːn
2:13	وَإِذَا قِيلَ لَهُمۡ ءَامِنُواۡ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاۡ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ‌ۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَـٰكِن لَّا يَعۡلَمُونَ	waʔiðaː qiːla lahum ʔaːminuː kamaːː ʔaːmana nː̃aːsu qaːluːː ʔanuʔminu kamaːː ʔaːmana sːufahaːːʔu ʔalaːː ʔinː̃ahum humu sːufahaːːʔu walaːki lːaː jaʕlamuːn
2:14	وَإِذَا لَقُواۡ ٱلَّذِينَ ءَامَنُواۡ قَالُوٓاۡ ءَامَنَّا وَإِذَا خَلَوۡاۡ إِلَىٰ شَيَـٰطِينِهِمۡ قَالُوٓاۡ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ	waʔiðaː laquː lːaðiːna ʔaːmanuː qaːluːː ʔaːmanː̃aː waʔiðaː xalaw ʔilaː ʃajaːtˤiːnihim qaːluːː ʔinː̃aː maʕakum ʔinː̃amaː naħnu mustahziʔuːn
2:15	ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِى طُغۡيَـٰنِهِمۡ يَعۡمَهُونَ	ʔalːaːhu jastahziʔu bihim wajamudːuhum fiː tˤuɣjaːnihim jaʕmahuːn
2:16	أُوۡلَـٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاۡ ٱلضَّلَـٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَـٰرَتُهُمۡ وَمَا كَانُواۡ مُهۡتَدِينَ	ʔulaːːʔika lːaðiːna ʃtarawu dˤːalaːlata bilhudaː famaː rabiħa tːid͡ʒaːratuhum wamaː kaːnuː muhtadiːn
2:17	مَثَلُهُمۡ كَمَثَلِ ٱلَّذِى ٱسۡتَوۡقَدَ نَارًا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِى ظُلُمَـٰتٍ لَّا يُبۡصِرُونَ	maθaluhum kamaθali lːaðiː stawqada naːraⁿ falamː̃aːː ʔadˤaːːʔat maː ħawlahuː ðahaba lːaːhu binuːrihim watarakahum fiː ðˤulumaːti lːaː jubᵊsˤiruːn
2:18	صُمُّۢ بُكۡمٌ عُمۡىٌ فَهُمۡ لَا يَرۡجِعُونَ	sˤumː̃uᵐ bukmun ʕumjuⁿ fahum laː jard͡ʒiʕuːn
2:19	أَوۡ كَصَيِّبٍ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَـٰتٌ وَرَعۡدٌ وَبَرۡقٌ يَجۡعَلُونَ أَصَـٰبِعَهُمۡ فِىٓ ءَاذَانِهِم مِّنَ ٱلصَّوٰعِقِ حَذَرَ ٱلۡمَوۡتِ‌ۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَـٰفِرِينَ	ʔaw kasˤajːibi mː̃ina sːamaːːʔi fiːhi ðˤulumaːtu w̃ːaraʕdu w̃ːabarqu j̃ːad͡ʒᵊʕaluːna ʔasˤaːbiʕahum fiːː ʔaːðaːnihi mː̃ina sˤːawaːʕiqi ħaðara lmawti walːaːhu muħiːtˤuᵐ bilkaːfiriːn
2:20	يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَـٰرَهُمۡ‌ۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاۡ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواۡ‌ۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَـٰرِهِمۡ‌ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىۡءٍ قَدِيرٌ	jakaːdu lbarqu jaxtˤafu ʔabᵊsˤaːrahum kulːamaːː ʔadˤaːːʔa lahu mː̃aʃaw fiːhi waʔiðaːː ʔaðˤlama ʕalajhim qaːmuː walaw ʃaːːʔa lːaːhu laðahaba bisamʕihim waʔabᵊsˤaːrihim ʔinː̃a lːaːha ʕalaː kulːi ʃaːʔiⁿ qadiːr
2:21	يَـٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواۡ رَبَّكُمُ ٱلَّذِى خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ	jaːːʔajːuhaː nː̃aːsu ʕbuduː rabːakumu lːaðiː xalaqakum walːaðiːna miⁿ qabᵊlikum laʕalːakum tatːaquːn
2:22	ٱلَّذِى جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرٰشًا وَٱلسَّمَآءَ بِنَآءً وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرٰتِ رِزۡقًا لَّكُمۡ‌ۖ فَلَا تَجۡعَلُواۡ لِلَّهِ أَندَادًا وَأَنتُمۡ تَعۡلَمُونَ	ʔalːaðiː d͡ʒaʕala lakumu lʔardˤa firaːʃa w̃ːasːamaːːʔa binaːːʔa w̃ːaʔaⁿzala mina sːamaːːʔi maːːʔaⁿ faʔaxrad͡ʒa bihiː mina θːamaraːti rizqa lːakum falaː tad͡ʒᵊʕaluː lilːaːhi ʔaⁿdaːda w̃ːaʔaⁿtum taʕlamuːn
2:23	وَإِن كُنتُمۡ فِى رَيۡبٍ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواۡ بِسُورَةٍ مِّن مِّثۡلِهِۦ وَٱدۡعُواۡ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَـٰدِقِينَ	waʔiⁿ kuⁿtum fiː rajbi mː̃imː̃aː nazːalnaː ʕalaː ʕabᵊdinaː faʔtuː bisuːrati mː̃i mː̃iθlihiː wadᵊʕuː ʃuhadaːːʔaku mː̃iⁿ duːni lːaːhi ʔiⁿ kuⁿtum sˤaːdiqiːn
2:24	فَإِن لَّمۡ تَفۡعَلُواۡ وَلَن تَفۡعَلُواۡ فَٱتَّقُواۡ ٱلنَّارَ ٱلَّتِى وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُ‌ۖ أُعِدَّتۡ لِلۡكَـٰفِرِينَ	faʔi lːam tafʕaluː walaⁿ tafʕaluː fatːaquː nː̃aːra lːatiː waquːduhaː nː̃aːsu walħid͡ʒaːratu ʔuʕidːat lilkaːfiriːn
2:25	وَبَشِّرِ ٱلَّذِينَ ءَامَنُواۡ وَعَمِلُواۡ ٱلصَّـٰلِحَـٰتِ أَنَّ لَهُمۡ جَنَّـٰتٍ تَجۡرِى مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُ‌ۖ كُلَّمَا رُزِقُواۡ مِنۡهَا مِن ثَمَرَةٍ رِّزۡقًا‌ۙ قَالُواۡ هَـٰذَا ٱلَّذِى رُزِقۡنَا مِن قَبۡلُ‌ۖ وَأُتُواۡ بِهِۦ مُتَشَـٰبِهًا‌ۖ وَلَهُمۡ فِيهَآ أَزۡوٰجٌ مُّطَهَّرَةٌ‌ۖ وَهُمۡ فِيهَا خَـٰلِدُونَ	wabaʃːiri lːaðiːna ʔaːmanuː waʕamiluː sˤːaːliħaːti ʔanː̃a lahum d͡ʒanː̃aːtiⁿ tad͡ʒᵊriː miⁿ taħtihaː lʔanhaːru kulːamaː ruziquː minhaː miⁿ θamarati rːizqaⁿ qaːluː haːðaː lːaðiː ruziqᵊnaː miⁿ qabᵊlu waʔutuː bihiː mutaʃaːbiha w̃ːalahum fiːhaːː ʔazwaːd͡ʒu mː̃utˤahːaratu w̃ːahum fiːhaː xaːliduːn
2:26	۞إِنَّ ٱللَّهَ لَا يَسۡتَحۡىِۦٓ أَن يَضۡرِبَ مَثَلاً مَّا بَعُوضَةً فَمَا فَوۡقَهَا‌ۚ فَأَمَّا ٱلَّذِينَ ءَامَنُواۡ فَيَعۡلَمُونَ أَنَّهُ ٱلۡحَقُّ مِن رَّبِّهِمۡ‌ۖ وَأَمَّا ٱلَّذِينَ كَفَرُواۡ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَـٰذَا مَثَلاً‌ۘ يُضِلُّ بِهِۦ كَثِيرًا وَيَهۡدِى بِهِۦ كَثِيرًا‌ۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلۡفَـٰسِقِينَ	ʔinː̃a lːaːha laː jastaħjiːː ʔa j̃ːadˤriba maθala mː̃aː baʕuːdˤataⁿ famaː fawqahaː faʔamː̃aː lːaðiːna ʔaːmanuː fajaʕlamuːna ʔanː̃ahu lħaqːu mi rːabːihim waʔamː̃aː lːaðiːna kafaruː fajaquːluːna maːðaːː ʔaraːda lːaːhu bihaːðaː maθala j̃ːudˤilːu bihiː kaθiːra w̃ːajahdiː bihiː kaθiːra w̃ːamaː judˤilːu bihiːː ʔilːaː lfaːsiqiːn
2:27	ٱلَّذِينَ يَنقُضُونَ عَهۡدَ ٱللَّهِ مِنۢ بَعۡدِ مِيثَـٰقِهِۦ وَيَقۡطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفۡسِدُونَ فِى ٱلۡأَرۡضِ‌ۚ أُوۡلَـٰٓئِكَ هُمُ ٱلۡخَـٰسِرُونَ	ʔalːaðiːna jaⁿqudˤuːna ʕahda lːaːhi miᵐ baʕdi miːθaːqihiː wajaqᵊtˤaʕuːna maːː ʔamara lːaːhu bihiːː ʔa j̃ːuːsˤala wajufsiduːna fiː lʔardˤi ʔulaːːʔika humu lxaːsiruːn
2:28	كَيۡفَ تَكۡفُرُونَ بِٱللَّهِ وَكُنتُمۡ أَمۡوٰتًا فَأَحۡيَـٰكُمۡ‌ۖ ثُمَّ يُمِيتُكُمۡ ثُمَّ يُحۡيِيكُمۡ ثُمَّ إِلَيۡهِ تُرۡجَعُونَ	kajfa takfuruːna bilːaːhi wakuⁿtum ʔamwaːtaⁿ faʔaħjaːkum θumː̃a jumiːtukum θumː̃a juħjiːkum θumː̃a ʔilajhi turd͡ʒaʕuːn
2:29	هُوَ ٱلَّذِى خَلَقَ لَكُم مَّا فِى ٱلۡأَرۡضِ جَمِيعًا ثُمَّ ٱسۡتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّٮٰهُنَّ سَبۡعَ سَمَـٰوٰتٍ‌ۚ وَهُوَ بِكُلِّ شَىۡءٍ عَلِيمٌ	huwa lːaðiː xalaqa laku mː̃aː fiː lʔardˤi d͡ʒamiːʕaⁿ θumː̃a stawaːː ʔilaː sːamaːːʔi fasawːaːhunː̃a sabᵊʕa samaːwaːti w̃ːahuwa bikulːi ʃaːʔin ʕaliːm
2:30	وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَـٰٓئِكَةِ إِنِّى جَاعِلٌ فِى ٱلۡأَرۡضِ خَلِيفَةً‌ۖ قَالُوٓاۡ أَتَجۡعَلُ فِيهَا مَن يُفۡسِدُ فِيهَا وَيَسۡفِكُ ٱلدِّمَآءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَ‌ۖ قَالَ إِنِّىٓ أَعۡلَمُ مَا لَا تَعۡلَمُونَ	waʔið qaːla rabːuka lilmalaːːʔikati ʔinː̃iː d͡ʒaːʕiluⁿ fiː lʔardˤi xaliːfataⁿ qaːluːː ʔatad͡ʒᵊʕalu fiːhaː ma j̃ːufsidu fiːhaː wajasfiku dːimaːːʔa wanaħnu nusabːiħu biħamdika wanuqadːisu laka qaːla ʔinː̃iːː ʔaʕlamu maː laː taʕlamuːn
2:31	وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَـٰٓئِكَةِ فَقَالَ أَنۢبِــُٔونِى بِأَسۡمَآءِ هَـٰٓؤُلَآءِ إِن كُنتُمۡ صَـٰدِقِينَ	waʕalːama ʔaːdama lʔasmaːːʔa kulːahaː θumː̃a ʕaradˤahum ʕalaː lmalaːːʔikati faqaːla ʔaᵐbiʔuːniː biʔasmaːːʔi haːːʔulaːːʔi ʔiⁿ kuⁿtum sˤaːdiqiːn
2:32	قَالُواۡ سُبۡحَـٰنَكَ لَا عِلۡمَ لَنَآ إِلَّا مَا عَلَّمۡتَنَآ‌ۖ إِنَّكَ أَنتَ ٱلۡعَلِيمُ ٱلۡحَكِيمُ	qaːluː subᵊħaːnaka laː ʕilma lanaːː ʔilːaː maː ʕalːamtanaːː ʔinː̃aka ʔaⁿta lʕaliːmu lħakiːm
2:33	قَالَ يَـٰٓـــَٔادَمُ أَنۢبِئۡهُم بِأَسۡمَآئِهِمۡ‌ۖ فَلَمَّآ أَنۢبَأَهُم بِأَسۡمَآئِهِمۡ قَالَ أَلَمۡ أَقُل لَّكُمۡ إِنِّىٓ أَعۡلَمُ غَيۡبَ ٱلسَّمَـٰوٰتِ وَٱلۡأَرۡضِ وَأَعۡلَمُ مَا تُبۡدُونَ وَمَا كُنتُمۡ تَكۡتُمُونَ	qaːla jaːːʔaːdamu ʔaᵐbiʔhuᵐ biʔasmaːːʔihim falamː̃aːː ʔaᵐbaʔahuᵐ biʔasmaːːʔihim qaːla ʔalam ʔaqu lːakum ʔinː̃iːː ʔaʕlamu ɣajba sːamaːwaːti walʔardˤi waʔaʕlamu maː tubᵊduːna wamaː kuⁿtum taktumuːn
2:34	وَإِذۡ قُلۡنَا لِلۡمَلَـٰٓئِكَةِ ٱسۡجُدُواۡ لِأَدَمَ فَسَجَدُوٓاۡ إِلَّآ إِبۡلِيسَ أَبَىٰ وَٱسۡتَكۡبَرَ وَكَانَ مِنَ ٱلۡكَـٰفِرِينَ	waʔið qulnaː lilmalaːːʔikati sd͡ʒuduː liʔadama fasad͡ʒaduːː ʔilːaːː ʔibᵊliːsa ʔabaː wastakbara wakaːna mina lkaːfiriːn
2:35	وَقُلۡنَا يَـٰٓـــَٔادَمُ ٱسۡكُنۡ أَنتَ وَزَوۡجُكَ ٱلۡجَنَّةَ وَكُلَا مِنۡهَا رَغَدًا حَيۡثُ شِئۡتُمَا وَلَا تَقۡرَبَا هَـٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّـٰلِمِينَ	waqulnaː jaːːʔaːdamu skun ʔaⁿta wazawd͡ʒuka ld͡ʒanː̃ata wakulaː minhaː raɣadan ħajθu ʃiʔtumaː walaː taqᵊrabaː haːðihi ʃːad͡ʒarata fatakuːnaː mina ðˤːaːlimiːn
2:36	فَأَزَلَّهُمَا ٱلشَّيۡطَـٰنُ عَنۡهَا فَأَخۡرَجَهُمَا مِمَّا كَانَا فِيهِ‌ۖ وَقُلۡنَا ٱهۡبِطُواۡ بَعۡضُكُمۡ لِبَعۡضٍ عَدُوٌّ‌ۖ وَلَكُمۡ فِى ٱلۡأَرۡضِ مُسۡتَقَرٌّ وَمَتَـٰعٌ إِلَىٰ حِينٍ	faʔazalːahumaː ʃːajtˤaːnu ʕanhaː faʔaxrad͡ʒahumaː mimː̃aː kaːnaː fiːhi waqulnaː hbitˤuː baʕdˤukum libaʕdˤin ʕaduwːu w̃ːalakum fiː lʔardˤi mustaqarːu w̃ːamataːʕun ʔilaː ħiːn
2:37	فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَـٰتٍ فَتَابَ عَلَيۡهِ‌ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ	fatalaqːaːː ʔaːdamu mi rːabːihiː kalimaːtiⁿ fataːba ʕalajhi ʔinː̃ahuː huwa tːawːaːbu rːaħiːm
2:38	قُلۡنَا ٱهۡبِطُواۡ مِنۡهَا جَمِيعًا‌ۖ فَإِمَّا يَأۡتِيَنَّكُم مِّنِّى هُدًى فَمَن تَبِعَ هُدَاىَ فَلَا خَوۡفٌ عَلَيۡهِمۡ وَلَا هُمۡ يَحۡزَنُونَ	qulnaː hbitˤuː minhaː d͡ʒamiːʕaⁿ faʔimː̃aː jaʔtijanː̃aku mː̃inː̃iː hudaⁿ famaⁿ tabiʕa hudaːja falaː xawfun ʕalajhim walaː hum jaħzanuːn
2:39	وَٱلَّذِينَ كَفَرُواۡ وَكَذَّبُواۡ بِـَٔـايَـٰتِنَآ أُوۡلَـٰٓئِكَ أَصۡحَـٰبُ ٱلنَّارِ‌ۖ هُمۡ فِيهَا خَـٰلِدُونَ	walːaðiːna kafaruː wakaðːabuː biʔaːjaːtinaːː ʔulaːːʔika ʔasˤħaːbu nː̃aːri hum fiːhaː xaːliduːn
2:40	يَـٰبَنِىٓ إِسۡرٰٓءِيلَ ٱذۡكُرُواۡ نِعۡمَتِىَ ٱلَّتِىٓ أَنۡعَمۡتُ عَلَيۡكُمۡ وَأَوۡفُواۡ بِعَهۡدِىٓ أُوفِ بِعَهۡدِكُمۡ وَإِيَّـٰىَ فَٱرۡهَبُونِ	jaːbaniːː ʔisraːːʔiːla ðkuruː niʕmatija lːatiːː ʔanʕamtu ʕalajkum waʔawfuː biʕahdiːː ʔuːfi biʕahdikum waʔijːaːja farhabuːn
2:41	وَءَامِنُواۡ بِمَآ أَنزَلۡتُ مُصَدِّقًا لِّمَا مَعَكُمۡ وَلَا تَكُونُوٓاۡ أَوَّلَ كَافِرِۭ بِهِۦ‌ۖ وَلَا تَشۡتَرُواۡ بِـَٔـايَـٰتِى ثَمَنًا قَلِيلاً وَإِيَّـٰىَ فَٱتَّقُونِ	waʔaːminuː bimaːː ʔaⁿzaltu musˤadːiqa lːimaː maʕakum walaː takuːnuːː ʔawːala kaːfiriᵐ bihiː walaː taʃtaruː biʔaːjaːtiː θamanaⁿ qaliːla w̃ːaʔijːaːja fatːaquːn
2:42	وَلَا تَلۡبِسُواۡ ٱلۡحَقَّ بِٱلۡبَـٰطِلِ وَتَكۡتُمُواۡ ٱلۡحَقَّ وَأَنتُمۡ تَعۡلَمُونَ	walaː talbisuː lħaqːa bilbaːtˤili wataktumuː lħaqːa waʔaⁿtum taʕlamuːn
2:43	وَأَقِيمُواۡ ٱلصَّلَوٰةَ وَءَاتُواۡ ٱلزَّكَوٰةَ وَٱرۡكَعُواۡ مَعَ ٱلرّٰكِعِينَ	waʔaqiːmuː sˤːalaːta waʔaːtuː zːakaːta warkaʕuː maʕa rːaːkiʕiːn
2:44	۞أَتَأۡمُرُونَ ٱلنَّاسَ بِٱلۡبِرِّ وَتَنسَوۡنَ أَنفُسَكُمۡ وَأَنتُمۡ تَتۡلُونَ ٱلۡكِتَـٰبَ‌ۚ أَفَلَا تَعۡقِلُونَ	ʔataʔmuruːna nː̃aːsa bilbirːi wataⁿsawna ʔaⁿfusakum waʔaⁿtum tatluːna lkitaːba ʔafalaː taʕqiluːn
2:45	وَٱسۡتَعِينُواۡ بِٱلصَّبۡرِ وَٱلصَّلَوٰةِ‌ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى ٱلۡخَـٰشِعِينَ	wastaʕiːnuː bisˤːabᵊri wasˤːalaːti waʔinː̃ahaː lakabiːratun ʔilːaː ʕalaː lxaːʃiʕiːn
2:46	ٱلَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَـٰقُواۡ رَبِّهِمۡ وَأَنَّهُمۡ إِلَيۡهِ رٰجِعُونَ	ʔalːaðiːna jaðˤunː̃uːna ʔanː̃ahu mː̃ulaːquː rabːihim waʔanː̃ahum ʔilajhi raːd͡ʒiʕuːn
2:47	يَـٰبَنِىٓ إِسۡرٰٓءِيلَ ٱذۡكُرُواۡ نِعۡمَتِىَ ٱلَّتِىٓ أَنۡعَمۡتُ عَلَيۡكُمۡ وَأَنِّى فَضَّلۡتُكُمۡ عَلَى ٱلۡعَـٰلَمِينَ	jaːbaniːː ʔisraːːʔiːla ðkuruː niʕmatija lːatiːː ʔanʕamtu ʕalajkum waʔanː̃iː fadˤːaltukum ʕalaː lʕaːlamiːn
2:48	وَٱتَّقُواۡ يَوۡمًا لَّا تَجۡزِى نَفۡسٌ عَن نَّفۡسٍ شَيۡــًٔا وَلَا يُقۡبَلُ مِنۡهَا شَفَـٰعَةٌ وَلَا يُؤۡخَذُ مِنۡهَا عَدۡلٌ وَلَا هُمۡ يُنصَرُونَ	watːaquː jawma lːaː tad͡ʒᵊziː nafsun ʕa nː̃afsiⁿ ʃajʔa w̃ːalaː juqᵊbalu minhaː ʃafaːʕatu w̃ːalaː juʔxaðu minhaː ʕadᵊlu w̃ːalaː hum juⁿsˤaruːn
2:49	وَإِذۡ نَجَّيۡنَـٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ يَسُومُونَكُمۡ سُوٓءَ ٱلۡعَذَابِ يُذَبِّحُونَ أَبۡنَآءَكُمۡ وَيَسۡتَحۡيُونَ نِسَآءَكُمۡ‌ۚ وَفِى ذٰلِكُم بَلَآءٌ مِّن رَّبِّكُمۡ عَظِيمٌ	waʔið nad͡ʒːajnaːku mː̃in ʔaːli firʕawna jasuːmuːnakum suːːʔa lʕaðaːbi juðabːiħuːna ʔabᵊnaːːʔakum wajastaħjuːna nisaːːʔakum wafiː ðaːlikuᵐ balaːːʔu mː̃i rːabːikum ʕaðˤiːm
2:50	وَإِذۡ فَرَقۡنَا بِكُمُ ٱلۡبَحۡرَ فَأَنجَيۡنَـٰكُمۡ وَأَغۡرَقۡنَآ ءَالَ فِرۡعَوۡنَ وَأَنتُمۡ تَنظُرُونَ	waʔið faraqᵊnaː bikumu lbaħra faʔaⁿd͡ʒajnaːkum waʔaɣraqᵊnaːː ʔaːla firʕawna waʔaⁿtum taⁿðˤuruːn
2:51	وَإِذۡ وٰعَدۡنَا مُوسَىٰٓ أَرۡبَعِينَ لَيۡلَةً ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ وَأَنتُمۡ ظَـٰلِمُونَ	waʔið waːʕadᵊnaː muːsaːː ʔarbaʕiːna lajlataⁿ θumː̃a tːaxaðtumu lʕid͡ʒᵊla miᵐ baʕdihiː waʔaⁿtum ðˤaːlimuːn
2:52	ثُمَّ عَفَوۡنَا عَنكُم مِّنۢ بَعۡدِ ذٰلِكَ لَعَلَّكُمۡ تَشۡكُرُونَ	θumː̃a ʕafawnaː ʕaⁿku mː̃iᵐ baʕdi ðaːlika laʕalːakum taʃkuruːn
