id	ipa	count	rasm
225a4ff9222a	waʔin	173	وَإِن وَإِنۡ وَإِنِ وَّإِن
ddb8043671ca	wahuː	171	وَهُوَ
623449fdec34	ʔið	165	إِذۡ إِذِ إِذ
6a9741d5e788	walːaðiːn	164	وَٱلَّذِينَ وَّٱلَّذِينَ
f7bbdd123b15	ʕalajkum	164	عَلَيۡكُمۡ عَلَيۡكُم عَلَيۡكُمُ
efdae7094530	ʔalkitaːbᵊ	163	ٱلۡكِتَـٰبَ ٱلۡكِتَـٰبِ ٱلۡكِتَـٰبُ
7f1b55b86059	lam	163	لَمۡ لَّمۡ
bd19227baccc	walʔardˤ	157	وَٱلۡأَرۡضِ وَٱلۡأَرۡضَ وَٱلۡأَرۡضُ
e1a3a567d4ea	ʔinː̃aː	156	إِنَّا إِنَّآ
8a259f5c347b	falaː	156	فَلَا فَلَآ
3b754ecefea0	minhum	153	مِنۡهُمۡ مِّنۡهُمۡ مِنۡهُم مِّنۡهُم مِنۡهُمُ مِّنۡهُمُ
a94b3edbfb63	ʕaðaːbᵊ	150	عَذَابٌ عَذَابَ عَذَابِ عَذَابٍ عَذَابُ
1efd587f9e2a	baʕdᵊ	148	بَعۡدِ بَعۡدَ بَعۡدُ
8e3257c7b545	ʕalajh	146	عَلَيۡهِ عَّلَيۡهِ عَلَيۡهُ
692859ebec08	ʔinː̃ahuː	145	إِنَّهُۥ إِنَّهُۥٓ
49815fd40c50	jaːːʔajːuhaː	142	يَـٰٓأَيُّهَا
1fbaa8be8954	ħatːaː	142	حَتَّىٰ حَتَّىٰٓ
86776a179605	bilːaːh	139	بِٱللَّهِ
91e65f4dd9c7	wahum	136	وَهُمۡ وَهُم وَّهُم وَّهُمۡ
d09777d5a187	waʔiðaː	134	وَإِذَا وَإِذَآ وَإِذًا
28517a7695ee	ʔulaːːʔik	133	أُوۡلَـٰٓئِكَ
ceb81746b77f	ʔinː̃iː	131	إِنِّى إِنِّىٓ
d7cafa06440f	walaqadᵊ	129	وَلَقَدۡ وَلَقَدِ وَلَقَد
cd2d80476e36	rabːᵊ	128	رَبِّ رَبُّ رَّبِّ رَبَّ رَّبُّ رَّبٍّ
1b5a6f8f2aba	bal	127	بَلۡ بَل بَلِ
3fb751e365b0	fiːh	126	فِيهِ
47e8b3a94b2e	qadᵊ	123	قَدۡ قَدِ قَد
7aa7270c9b26	ʔam	122	أَمۡ أَمِ أَم
0dc013288d43	ʕiⁿdᵊ	119	عِندَ عِندِ
bf44641f16ec	rabːik	119	رَبِّكَ رَّبِّكَ رَبِّكِ
153a81e1f94a	lilːaːh	116	لِلَّهِ لِّلَّهِ
4c0bdade3dbc	xajr	116	خَيۡرٌ خَيۡرُ خَيۡرٍ خَيۡرَ
cb3c05b679ff	jaʃaːːʔ	116	يَشَآءُ يَشَآءَ
87558f6e8509	qabᵊl	115	قَبۡلُ قَبۡلِ قَبۡلَ
fb775019c5ae	ʔadːunjaː	115	ٱلدُّنۡيَا ٱلدُّنۡيَآ
dc4910de33c8	ʔinː̃amaː	113	إِنَّمَا إِنَّمَآ
81fe823481dc	walaw	111	وَلَوۡ وَلَوِ
8ece772093fa	mimː̃aː	111	مِمَّا مِّمَّا مِمَّآ مِّمَّآ
3974ea72f1c9	ʔasːamaːːʔ	109	ٱلسَّمَآءِ ٱلسَّمَآءُ ٱلسَّمَآءَ
fbe80e18d6c1	ʔalħaqːᵊ	109	ٱلۡحَقُّ ٱلۡحَقِّ ٱلۡحَقَّ
a36a5be07ac6	miⁿkum	107	مِنكُمۡ مِّنكُمۡ مِنكُم مِّنكُم مِنكُمُ
da3720586b8c	ʕaliːm	106	عَلِيمٌ عَلِيمُۢ عَلِيمٍ
675dd8d8a9d4	muːsaː	105	مُوسَىٰ مُوسَىٰٓ مُوسَى مُّوسَىٰ مُّوسَىٰٓ مُّوسَى
a55cd7049cab	wamin	102	وَمِنَ وَمِن وَمِنۡ وَمِنۢ
3b39896ee180	ʔanː̃aːr	102	ٱلنَّارِ ٱلنَّارُ ٱلنَّارَ
88cd49985501	falamː̃aː	101	فَلَمَّا فَلَمَّآ
da90c5f145e9	ʔanː̃	99	أَنَّ
a1141db4958e	faʔin	97	فَإِن فَإِنۡ فَإِنِ فَإِنۢ
2296bf5fdeab	rabːiː	94	رَبِّى رَبِّىٓ رَّبِّى رَبِّىَ رَّبِّىٓ
d9530dcac26b	duːn	91	دُونِ دُونَ
be9688998f08	minh	88	مِنۡهُ مِّنۡهُ
778efcfbb39f	sabiːl	87	سَبِيلِ سَبِيلَ سَبِيلٍ سَبِيلٌ سَبِيلُ
7d510dd97293	faʔiðaː	87	فَإِذَا فَإِذَآ فَإِذًا
5c08ac76759d	juʔminuːn	86	يُؤۡمِنُونَ
b27e408512e6	famaː	86	فَمَا فَمَآ
331b74ac1f90	minhaː	86	مِنۡهَا مِّنۡهَا مِنۡهَآ مِّنۡهَآ
e25dbcb65699	kaðaːlik	86	كَذٰلِكَ كَذٰلِكِ
a9549f2c3467	ʔalʕaðaːbᵊ	85	ٱلۡعَذَابِ ٱلۡعَذَابَ ٱلۡعَذَابُ
f53be1c6bb8b	waqaːl	85	وَقَالَ
edd5c8150bbf	wakaːn	84	وَكَانَ
0105729ff2cc	mubiːn	84	مُّبِينٌ مُّبِينٍ مُبِينٌ مُبِينٍ
3ab176e8c7af	lanaː	83	لَنَا لَنَآ لَّنَا لَّنَآ
d66bb632b717	taʕmaluːn	83	تَعۡمَلُونَ
e7a945f30426	rabːihim	82	رَبِّهِمۡ رَّبِّهِمۡ رَبِّهِم رَبِّهِمُ رَّبِّهِم رَّبِّهِمُ
0ce5caff5805	faman	82	فَمَن فَمَنۡ فَمَنِ فَمَنۢ
dfb2253c576e	jaʕlamuːn	81	يَعۡلَمُونَ
b7ab8f2b6301	waʔinː̃	81	وَإِنَّ
48c37ed8c51c	bajn	79	بَيۡنَ بَيۡنِ
d48a9b392bcc	lilːaðiːn	79	لِلَّذِينَ لِّلَّذِينَ
8f1f74adf658	law	79	لَوۡ لَّوۡ لَوِ
c46a06564a03	bihaː	79	بِهَا بِهَآ
7a90166055d8	qawm	79	قَوۡمٌ قَوۡمٍ قَوۡمِ قَوۡمُ قَوۡمَ قَوۡمِۭ
42fd630635ca	ʔalam	78	أَلَمۡ
0f6573682451	ʔalmuʔminiːn	78	ٱلۡمُؤۡمِنِينَ
656c570374a8	ʔilajk	77	إِلَيۡكَ إِلَيۡكِ
abe50d80d213	ʃajʔaː	77	شَيۡــًٔا
0be9e832e925	ʔilajh	76	إِلَيۡهِ
8ff9e82827b8	ʔaⁿtum	76	أَنتُمۡ أَنتُم أَنتُمُ
277ef487e6d4	ʕanhum	75	عَنۡهُمۡ عَنۡهُم عَنۡهُمُ
dd7e3d03ab5e	bilħaqːᵊ	74	بِٱلۡحَقِّ
b392d21030ab	ʔilaːh	73	إِلَـٰهَ إِلَـٰهٌ إِلَـٰهٍ إِلَـٰهِ إِلَـٰهِۭ
c8f7fab0d5cb	waʔið	72	وَإِذۡ وَإِذِ
fd7b5e25de64	rabːanaː	72	رَبَّنَا رَبَّنَآ رَّبَّنَآ رَّبَّنَا
4ed9977dc892	d͡ʒahanː̃am	72	جَهَنَّمَ جَهَنَّمُ
e8e3ee308c7e	lak	71	لَكَ لَّكَ لَكِ
a6797f4a6d14	faʔinː̃	71	فَإِنَّ
7a127629b61a	jaʕlam	71	يَعۡلَمُ يَعۡلَمِ يَعۡلَمَ يَعۡلَمۡ يَعۡلَم
00fd12c30017	ʔalʔaxirah	71	ٱلۡأَخِرَةِ ٱلۡأَخِرَةَ ٱلۡأَخِرَةُ
62c6796e9f22	ʔalqijaːmah	70	ٱلۡقِيَـٰمَةِ
d0f567cd8c54	ɣajr	69	غَيۡرَ غَيۡرُ غَيۡرِ
232554cace01	hal	67	هَلۡ هَل هَلِ
9b9b4d1ac431	naħn	65	نَحۡنُ نَّحۡنُ
6fcf05d57410	firʕawn	65	فِرۡعَوۡنَ فِرۡعَوۡنُ
ddbfc44ff6bb	ʔaðˤːaːlimiːn	64	ٱلظَّـٰلِمِينَ
77a83074f3ee	ʔalʕaziːz	64	ٱلۡعَزِيزُ ٱلۡعَزِيزِ
252db6e5ab75	ʔinː̃ahum	63	إِنَّهُمۡ إِنَّهُم إِنَّهُمُ
77049902545a	ʔaʃːajtˤaːn	63	ٱلشَّيۡطَـٰنُ ٱلشَّيۡطَـٰنِ ٱلشَّيۡطَـٰنَ
38eade2fd990	ʔalħajaːh	63	ٱلۡحَيَوٰةِ ٱلۡحَيَوٰةُ ٱلۡحَيَوٰةَ
9d44acb3b3b8	liː	63	لِى لِّى لِىٓ لِىَ لِّىٓ
137ff7f83a9c	jawmaʔið	63	يَوۡمَئِذٍ يَوۡمَئِذِۭ
a4cbcc62056e	kunː̃aː	63	كُنَّا كُنَّآ
100f0fd32549	d͡ʒanː̃aːt	62	جَنَّـٰتٍ جَنَّـٰتِ جَنَّـٰتُ جَنَّـٰتٌ
e83fb2095043	kajf	62	كَيۡفَ
c87ae5ac5021	ʔasˤħaːbᵊ	62	أَصۡحَـٰبُ أَصۡحَـٰبِ أَصۡحَـٰبَ أَصۡحَـٰبٌ
e91e0b9f6070	ʔalqawm	62	ٱلۡقَوۡمِ ٱلۡقَوۡمَ ٱلۡقَوۡمُ
2158c091dd4a	ʔalʕaːlamiːn	61	ٱلۡعَـٰلَمِينَ
8dddb0697675	ʔasˤːaːliħaːt	61	ٱلصَّـٰلِحَـٰتِ ٱلصَّـٰلِحَـٰتُ
b7024c2efc21	baʕdˤ	61	بَعۡضٍ بَعۡضَ بَعۡضُ بَعۡضِ
4b71e1b23e2e	waqaːluː	61	وَقَالُواۡ وَقَالُوٓاۡ وَّقَالُواۡ
c1e5335f7b47	raħiːm	61	رَّحِيمٌ رَّحِيمُۢ رَّحِيمٍ رَحِيمٌ
088342533f76	liman	61	لِمَن لِمَنۡ لِّمَن لِّمَنۡ لِمَنِ لِّمَنِ
d44b2c57dab7	walaːkin	59	وَلَـٰكِن وَلَـٰكِنۡ وَلَـٰكِنِ وَلَـٰكِنۢ
25c9f4ffaec1	kamaː	59	كَمَا كَمَآ
a8fe53239990	laʕalːakum	59	لَعَلَّكُمۡ لَّعَلَّكُمۡ لَعَلَّكُم
094a367b0262	lan	59	لَن لَّن لَنۡ
3f6ec6e6b10b	ʔalːajl	59	ٱلَّيۡلِ ٱلَّيۡلَ ٱلَّيۡلُ
533872a87fbf	ʔasˤːalaːh	58	ٱلصَّلَوٰةَ ٱلصَّلَوٰةِ ٱلصَّلَوٰةُ
f8a822edb6b0	xalaqᵊ	58	خَلَقَ
37d7eb4b7295	maʕ	58	مَعَ مَّعَ
ce1ca28cacea	ʔibᵊraːhiːm	58	إِبۡرٰهِيمَ إِبۡرٰهِــۧمَ إِبۡرٰهِــۧمُ إِبۡرٰهِيمُ
ad3d3e505dfe	ʔalʔiⁿsaːn	58	ٱلۡإِنسَـٰنُ ٱلۡإِنسَـٰنَ ٱلۡإِنسَـٰنِ
ddc6383f2a2b	ʔalːatiː	57	ٱلَّتِى ٱلَّتِىٓ
d7eaa895f907	biʔaːjaːtinaː	57	بِـَٔـايَـٰتِنَا بِـَٔـايَـٰتِنَآ
6df16aa28196	faqadᵊ	57	فَقَدۡ فَقَدِ
ec557ebebdbd	ʕalajk	57	عَلَيۡكَ عَلَيۡكِ
f5a54c63273e	d͡ʒaːːʔ	57	جَآءَ
951a712a40a1	ʃaːːʔ	56	شَآءَ
2f0a20531eef	jaʕmaluːn	56	يَعۡمَلُونَ
dffa200cdf17	bajnahum	56	بَيۡنَهُمۡ بَيۡنَهُم بَيۡنَهُمُ
45e4791a2679	taʕlamuːn	55	تَعۡلَمُونَ تَّعۡلَمُونَ
e03840b46504	ʔaʕlam	55	أَعۡلَمُ
ecbbb212a179	ʔaⁿt	55	أَنتَ
cf5fe4d63bf0	qaliːlaː	55	قَلِيلًا
19a99d32cddd	rabːak	55	رَبَّكَ رَّبَّكَ
ac1631c1d1e8	ʔalaː	54	أَلَا أَلَآ
e3ce553839a2	laqadᵊ	54	لَقَدۡ لَّقَدۡ لَقَدِ لَقَد لَّقَد
2e5597c6e2ca	waʕamiluː	53	وَعَمِلُواۡ
6849ef2d7fda	walaːkinː̃	53	وَلَـٰكِنَّ
ebf0547f2f6b	ʔaliːm	52	أَلِيمٌ أَلِيمٍ أَلِيمُۢ
472e79a39a68	ʔalkaːfiriːn	52	ٱلۡكَـٰفِرِينَ
adff21a54d66	rasuːl	52	رَسُولٌ رَسُولُ رَّسُولٍ رَسُولَ رَسُولِ رَسُولُۢ رَسُولٍ رَّسُولِ رَّسُولٌ رَّسُولَ رَّسُولُ
a50d9a9d5ec0	ʔaːjaːt	52	ءَايَـٰتِ ءَايَـٰتُ ءَايَـٰتِۭ ءَايَـٰتٌ ءَايَـٰتٍ ءَايَـٰتُۢ
c60fa0103a03	ɣafuːr	52	غَفُورٌ غَفُورٍ
70e7ee36f585	ʔald͡ʒanː̃ah	51	ٱلۡجَنَّةِ ٱلۡجَنَّةَ ٱلۡجَنَّةُ
cd2fc14a1a2e	ʕalajnaː	51	عَلَيۡنَا عَلَيۡنَآ
dc8e6a2dd63c	jaquːluːn	51	يَقُولُونَ
d207228b57dc	lilnː̃aːs	51	لِلنَّاسِ لِّلنَّاسِ
296cd5495e29	liqawm	51	لِّقَوۡمٍ لِقَوۡمٍ
c84f6f7e71a2	kuⁿt	51	كُنتَ كُنتُ كُنتِ
f7c6355a7d40	ʔinː̃ak	50	إِنَّكَ إِنَّكِ
0a0869110095	ʕaðˤiːm	49	عَظِيمٌ عَظِيمٍ
ed23c2cbf520	d͡ʒamiːʕaː	49	جَمِيعًا جَمِيعَۢا
9d9a6e179335	ʔanaː	49	أَنَاۡ أَنَا
7b30f9f0587e	tad͡ʒᵊriː	48	تَجۡرِى
5583d846e944	ʕilm	48	عِلۡمٍ عِلۡمٌ عِلۡمُ عِلۡمَ عِلۡمِۭ
5dc6da986fe5	ʔarsalnaː	48	أَرۡسَلۡنَا أَرۡسَلۡنَآ
8632ccb78643	ʔadːiːn	47	ٱلدِّينِ ٱلدِّينَ ٱلدِّينُ
2ae9c4449d8f	ʔuⁿzil	47	أُنزِلَ
fa17d0095329	nafs	47	نَفۡسٍ نَفۡسٌ نَّفۡسٍ نَفۡسِۭ نَفۡسُۢ نَفۡسِ
aa3ad13bdcdb	hiː	47	هِىَ
5e0db08003d5	ʕamː̃aː	47	عَمَّا عَمَّآ
6cc13e021014	kitaːbᵊ	47	كِتَـٰبٌ كِتَـٰبٍ كِتَـٰبِ كِتَـٰبَ كِتَـٰبُ كِتَابٌ كِتَابِ
0bbef8803b6b	ʔaⁿzal	47	أَنزَلَ
f2e55008df6a	lajs	47	لَيۡسَ لَّيۡسَ
f519f013cc85	walam	47	وَلَمۡ
8b80b54495c1	kaθiːraː	46	كَثِيرًا
f041d7a0a224	rabːuk	46	رَبُّكَ رَبُّكِ رَّبُّكَ
b20d017dd628	rabːikum	46	رَّبِّكُمۡ رَبِّكُمۡ رَبِّكُم رَّبِّكُم
ac68fc2740ae	faʔulaːːʔik	46	فَأُوۡلَـٰٓئِكَ
8ff077ad646b	ʕalajhaː	46	عَلَيۡهَا عَلَيۡهَآ
4e7757855667	ʔarːaħmaːn	45	ٱلرَّحۡمَـٰنِ ٱلرَّحۡمَـٰنُ ٱلرَّحۡمَـٰنَ
358ee6ac38f7	waʔaⁿtum	45	وَأَنتُمۡ وَأَنتُم وَأَنتُمُ
77e0dd5ff0f5	ʔafalaː	45	أَفَلَا
5a6585aa4057	ʔarːasuːl	45	ٱلرَّسُولَ ٱلرَّسُولِ ٱلرَّسُولُ
3a93bce3db26	ʔalːaː	45	أَلَّا أَلَّآ
b2aa77d8a5e5	d͡ʒaʕal	44	جَعَلَ
e88a04fc7a9c	ðaːlikum	44	ذٰلِكُمۡ ذٰلِكُمُ ذٰلِكُم
2610afba093c	wajawm	44	وَيَوۡمَ
b3889a641226	walahum	43	وَلَهُمۡ وَلَهُم وَلَهُمُ
900812e3518d	ʔalʔanhaːr	43	ٱلۡأَنۡهَـٰرُ ٱلۡأَنۡهَـٰرَ
8ab3e2c1ce5e	waqadᵊ	43	وَقَدۡ وَقَد
78822ba91874	xaːlidiːn	43	خَـٰلِدِينَ
658fb618e7bb	waʔanː̃	43	وَأَنَّ
e66b11ad9891	ʔalqurʔaːn	43	ٱلۡقُرۡءَانَ ٱلۡقُرۡءَانِ ٱلۡقُرۡءَانُ
a7a46069f216	quluːbihim	42	قُلُوبِهِمۡ قُلُوبِهِم قُلُوبِهِمُ
bc0069858649	ʔalħakiːm	42	ٱلۡحَكِيمُ ٱلۡحَكِيمِ
8108fa4d5a96	rabːihiː	42	رَبِّهِۦ رَّبِّهِۦ رَبِّهِۦٓ رَّبِّهِۦٓ
16049efd0f41	ʔisraːːʔiːl	42	إِسۡرٰٓءِيلَ إِسۡرٰٓءِيلُ
311ad030ca74	jahdiː	42	يَهۡدِى يَهۡدِىٓ
9d77a190eff7	bihim	41	بِهِمۡ بِهِم بِهِمُ
3c2115701fd8	fahum	41	فَهُمۡ فَهُم فَهُمُ
9f81c0ca63d4	haːːʔulaːːʔ	41	هَـٰٓؤُلَآءِ
0ea37a69ff11	ʔanː̃ahum	41	أَنَّهُمۡ أَنَّهُم
fd7422cbb4f6	biɣajr	41	بِغَيۡرِ
b1f9286ed2fb	d͡ʒaːːʔahum	41	جَآءَهُمۡ جَآءَهُم جَآءَهُمُ
54718bc61a3a	lahaː	41	لَهَا لَّهَا لَهَآ
da469dc8d349	laʕalːahum	41	لَعَلَّهُمۡ لَّعَلَّهُمۡ لَّعَلَّهُم
6a9123a8f11d	ʔaljawm	41	ٱلۡيَوۡمَ ٱلۡيَوۡمُ ٱلۡيَوۡمِ
6be3ef41c967	ʔilajhim	40	إِلَيۡهِمۡ إِلَيۡهِم إِلَيۡهِمُ
767517bf66b9	qawmaː	40	قَوۡمًا قَوۡمَۢا
388452fd399d	waʕalaː	39	وَعَلَى وَعَلَىٰ وَعَلَىٰٓ
b2e5e485a4c3	jaquːl	39	يَقُولُ يَقُولَ
9f7b5f77f1a3	ðˤalamuː	39	ظَلَمُواۡ ظَلَمُوٓاۡ ظَّلَمُوٓاۡ
593fbe6f4c75	ʔahl	39	أَهۡلِ أَهۡلُ أَهۡلَ
101738464ded	juħibːᵊ	39	يُحِبُّ
430a2dd47b5d	ħakiːm	39	حَكِيمٌ حَكِيمٍ
5e69bd83b016	ʔalmalaːːʔikah	38	ٱلۡمَلَـٰٓئِكَةُ ٱلۡمَلَـٰٓئِكَةَ ٱلۡمَلَـٰٓئِكَةِ
005d66ae40cc	watːaquː	38	وَٱتَّقُواۡ
7905165b66bf	jaːqawm	38	يَـٰقَوۡمِ
028fe49385b0	lawlaː	38	لَوۡلَآ لَوۡلَا لَّوۡلَا لَّوۡلَآ
47365f435516	wakaðaːlik	38	وَكَذٰلِكَ
dfda11949d7d	juriːdᵊ	38	يُرِيدُ
3ac18ea35099	ʕaðaːbaː	38	عَذَابًا
b521c85a453e	qadiːr	37	قَدِيرٌ قَدِيرُۢ
44fab44ace8b	qabᵊlihim	37	قَبۡلِهِمۡ قَبۡلِهِم قَبۡلِهِمُ
e5199ab7c282	xajraː	37	خَيۡرًا
8284724ef068	kaðːabuː	37	كَذَّبُواۡ
d1998891b8df	ʕanh	37	عَنۡهُ
efa651d3bd5b	wad͡ʒaʕalnaː	37	وَجَعَلۡنَا وَجَعَلۡنَآ
da2f001aed1d	ʔaⁿfusahum	36	أَنفُسَهُمۡ أَنفُسَهُم
9b6ea9626795	sˤaːliħaː	36	صَـٰلِحًا
5ad2d187aad8	ʔalʕaðˤiːm	36	ٱلۡعَظِيمِ ٱلۡعَظِيمُ ٱلۡعَظِيمَ
6d45b8eb56a5	rabːukum	36	رَبُّكُمۡ رَبُّكُم رَّبُّكُمۡ رَبُّكُمُ رَّبُّكُمُ
3f6ffe58c3ad	duːnihiː	36	دُونِهِۦ دُونِهِۦٓ
0f0bd3b16da3	ʔalmawt	35	ٱلۡمَوۡتِ ٱلۡمَوۡتُ ٱلۡمَوۡتَ
d2c2dd3bd5d9	taħtihaː	35	تَحۡتِهَا تَحۡتِهَآ
35da6f67e0f8	limaː	35	لِّمَا لِمَا لِمَآ
252080cc3e57	bikum	35	بِكُمۡ بِكُمُ بِكُم
67fe8614de97	wakaːnuː	35	وَكَانُواۡ وَّكَانُواۡ وَكَانُوٓاۡ
c0d4c9620c18	ʔumː̃ah	35	أُمَّةٍ أُمَّةٌ أُمَّةِۭ
d98b505819dd	jakuːn	35	يَكُونُ يَكُونَ
ea261a552f9e	ʃadiːdᵊ	35	شَدِيدُ شَدِيدٌ شَدِيدٍ شَدِيدُۢ شَدِيدِ
80759819beaf	ʔawalam	35	أَوَلَمۡ
1bb3d56915c1	ʔasːaːʕah	35	ٱلسَّاعَةُ ٱلسَّاعَةَ ٱلسَّاعَةِ
91553d5abc96	fabiʔajː	35	فَبِأَىِّ
3d1d7b0f3aa4	ʔarːaħiːm	34	ٱلرَّحِيمُ ٱلرَّحِيمِ
943be6da1a7b	qiːl	34	قِيلَ
c7d23d2055ed	bikulː	34	بِكُلِّ بِكُلٍّ
97f43d9c936c	biʔaːjaːt	34	بِـَٔـايَـٰتِ
eaf1f9a2e378	ħaqːᵊ	34	حَقَّ حَقٌّ حَقٍّ حَقُّ
4793cda479d7	ʔawlijaːːʔ	34	أَوۡلِيَآءَ أَوۡلِيَآءُ
ef75565fd3ca	ʔamr	34	أَمۡرُ أَمۡرِ أَمۡرٍ أَمۡرَ أَمۡرٌ
ddf558160458	ʔaːlaːːʔ	34	ءَالَآءِ ءَالَآءَ
45c4c2d56645	wafiː	33	وَفِى وَفِىٓ
bd7ec3f248ee	waʔinː̃aː	33	وَإِنَّا وَإِنَّآ
7dfa55200ee4	muʔminiːn	33	مُّؤۡمِنِينَ مُؤۡمِنِينَ
1a062f06589c	walaʔin	33	وَلَئِن وَلَئِنۡ وَلَئِنِ
b6e7819c5889	minː̃aː	33	مِّنَّا مِنَّا مِنَّآ
adc6e9ebc4ea	lah	33	لَهُ لَّهُ
70a4b75be725	lamː̃aː	33	لَمَّا لَّمَّا لَمَّآ لَّمًّا
4d9de70b0435	kalːaː	33	كَلَّا كَلَّآ
3389725e1e3f	sˤiraːtˤᵊ	32	صِرٰطٍ صِرٰطٌ صِرٰطِ صِرٰطَ صِرٰطُ
ffcff3827cee	hudaː	32	هُدًى هُدَى
bd7cd6296a3d	ʔalʕaliːm	32	ٱلۡعَلِيمُ ٱلۡعَلِيمِ
f1e81a7c1863	ʔuːtuː	32	أُوتُواۡ أُوتُوٓاۡ
d415084ab45c	ʔaħsan	32	أَحۡسَنُ أَحۡسَنَ أَحۡسَنِ
0bbbac350a66	ʔalʔamr	32	ٱلۡأَمۡرِ ٱلۡأَمۡرُ ٱلۡأَمۡرَ
96495a031422	ʔanː̃aː	32	أَنَّىٰ أَنَّا أَنَّآ
5c23f35f7b26	ʔilajkum	32	إِلَيۡكُمۡ إِلَيۡكُم إِلَيۡكُمُ
0bcb6dcb5127	ʔad͡ʒᵊr	32	أَجۡرٌ أَجۡرٍ أَجۡرَ أَجۡرُ
80e917c865c4	ʔaːmanː̃aː	31	ءَامَنَّا
34e74cbc201f	sˤaːdiqiːn	31	صَـٰدِقِينَ
b8d939cae54e	ʔinː̃akum	31	إِنَّكُمۡ إِنَّكُم
915d11926ca0	baniː	31	بَنِىٓ
003240671c6b	walamː̃aː	31	وَلَمَّا وَلَمَّآ
9ca9100c91d9	mimː̃an	31	مِمَّن مِمَّنِ مِّمَّنۡ مِّمَّن مِمَّنۡ
09a3a422adc7	ʔalʔajaːt	31	ٱلۡأَيَـٰتِ ٱلۡأَيَـٰتُ
4a74e3ecf773	jakun	31	يَكُن يَكُنِ يَكُنۡ
